diesels,blah,turbo,matter,cars
don,people,cars,power,low
car,ford,shifter,seat,probe
station,shuttle,launch,option,two
engine,feel,big,toyota,small
edu,writes,system,article,apr
mission,hst,shuttle,solar,pat
insurance,geico,each,want,area
oil,service,change,come,lights
clutch,cars,sho,drive,shift
henry,toronto,spencer,edu,writes
bill,moon,earth,etc,back
car,make,even,time,extra
edu,writes,article,apr,find
edu,writes,mustang,article,mail
edu,gif,uci,ics,incoming
sky,george,people,light,rights
space,nasa,long,program,world
don,two,used,point,another
science,internet,part,spacecraft,mars
